date,price,total_volume,market_cap,coin_name,year,month,day,day_of_week,week_of_year,quarter,price_ma_7d,total_volume_ma_7d,market_cap_ma_7d,price_ma_30d,total_volume_ma_30d,market_cap_ma_30d,price_lag_1,price_lag_2,price_lag_3,price_rolling_mean_7,price_rolling_mean_30
2018-02-08 00:05:28.226,7611.61027778882,4862232217.401406,128271617562.32497,bitcoin,2018,2,8,3,6,1,8198.00494631227,5381530000.085291,138100217826.5621,11270.996358733903,4672298831.641231,189588339789.30533,7711.2203289411,6852.05270051491,8315.51749143615,8198.00494631227,11270.996358733903
2018-02-09 00:00:00.000,8208.57208449673,3190753947.378832,138345016554.78464,bitcoin,2018,2,9,4,6,1,8074.864465615581,5155992667.661453,136043194353.79366,11027.639757323233,4613008200.455816,185517369913.06998,7611.61027778882,7711.2203289411,6852.05270051491,8074.864465615581,11027.639757323233
2018-02-10 00:00:00.000,8650.71675042998,2960039948.907384,145812043727.55478,bitcoin,2018,2,10,5,6,1,8049.229214240618,4605491229.337675,135628459808.962,10847.644662125756,4517213261.650934,182510804992.5975,8208.57208449673,7611.61027778882,7711.2203289411,8049.229214240618,10847.644662125756
2018-02-11 00:00:00.000,8574.67763849023,3371677737.5319858,144544944416.7482,bitcoin,2018,2,11,6,6,1,7989.195324585417,4598296321.166099,134633836765.21602,10641.490762411597,4495537426.148744,179064109197.27805,8650.71675042998,8208.57208449673,7611.61027778882,7989.195324585417,10641.490762411597
2018-02-12 00:00:00.000,8168.63777979963,2806997176.95887,137716289625.30893,bitcoin,2018,2,12,0,7,1,7968.212508637343,4522567869.159349,134295943203.51225,10407.334858472093,4484629074.542956,175145794693.09082,8574.67763849023,8650.71675042998,8208.57208449673,7968.212508637343,10407.334858472093
2018-02-13 00:00:00.000,8911.3985742083,3069219870.565569,150256428069.51227,bitcoin,2018,2,13,1,7,1,8262.404776307827,4201943758.8142333,139269027708.66434,10221.828511900068,4475734518.543369,172045932429.59918,8168.63777979963,8574.67763849023,8650.71675042998,8262.404776307827,10221.828511900068
2018-02-14 00:00:00.000,8518.26907619091,2551515988.2160945,143645913955.80325,bitcoin,2018,2,14,2,7,1,8377.697454486371,3258919555.28002,141227464844.57672,10025.370890875825,4453353106.435645,168761003081.16824,8911.3985742083,8168.63777979963,8574.67763849023,8377.697454486371,10025.370890875825
2018-02-15 00:00:00.000,9428.02560716167,3282094240.879327,159007423075.0244,bitcoin,2018,2,15,3,7,1,8637.185358682493,3033185558.6340094,145618294203.53378,9948.841293759022,4240180142.696301,167493118676.0426,8518.26907619091,8911.3985742083,8168.63777979963,8637.185358682493,9948.841293759022
2018-02-16 00:00:00.000,10112.5801434467,4332356645.963475,170569769073.98798,bitcoin,2018,2,16,4,7,1,8909.18650996106,3196271658.431815,150221830277.7057,9905.41420373135,4043726746.87436,166782690417.0606,9428.02560716167,8518.26907619091,8911.3985742083,8909.18650996106,9905.41420373135
2018-02-17 00:00:00.000,10155.2770555258,3141038601.332415,171309236631.063,bitcoin,2018,2,17,5,7,1,9124.12369640332,3222128608.778248,153864286406.7783,9858.275939179352,3929817871.444663,166009777147.05267,10112.5801434467,9428.02560716167,8518.26907619091,9124.12369640332,9858.275939179352
2018-02-18 00:00:00.000,11006.647685962,3699819140.1747103,185692327611.28845,bitcoin,2018,2,18,6,7,1,9471.547988899287,3269005952.0129232,159742484005.99832,9833.215217619243,3912859726.868548,165609565653.00958,10155.2770555258,10112.5801434467,9428.02560716167,9471.547988899287,9833.215217619243
2018-02-19 00:00:00.000,10523.429305801,4740378626.743881,177561296505.31497,bitcoin,2018,2,19,0,8,1,9807.946778328054,3545203301.9822106,165434627845.9992,9741.987154903325,3920189513.8790984,164095661481.30466,11006.647685962,10155.2770555258,10112.5801434467,9807.946778328054,9741.987154903325
2018-02-20 00:00:00.000,11103.0900361497,3486171704.866562,187364222442.60483,bitcoin,2018,2,20,1,8,1,10121.045558605398,3604767849.7394953,170735741327.86957,9721.973327346317,3892411838.407491,163780189748.28842,10523.429305801,11006.647685962,10155.2770555258,10121.045558605398,9721.973327346317
2018-02-21 00:00:00.000,11502.3770496396,4225354045.1790047,194121879194.2264,bitcoin,2018,2,21,2,8,1,10547.346697669496,3843887572.162768,177946593504.78714,9738.99939523163,3866170925.7704573,164088312040.11603,11103.0900361497,10523.429305801,11006.647685962,10547.346697669496,9738.99939523163
2018-02-22 00:00:00.000,9973.59211951887,4574800113.397884,168362084194.4766,bitcoin,2018,2,22,3,8,1,10625.28477086338,4028559839.6654196,179282973664.70892,9708.31910237091,3859350709.2000685,163591702323.0065,11502.3770496396,11103.0900361497,10523.429305801,10625.28477086338,9708.31910237091
2018-02-23 00:00:00.000,10032.863112314,4626064156.354444,169362253983.19455,bitcoin,2018,2,23,4,8,1,10613.89662355871,4070518055.4355574,179110471508.88126,9666.844007099746,3894141571.213736,162912758678.08923,9973.59211951887,11502.3770496396,11103.0900361497,10613.89662355871,9666.844007099746
2018-02-24 00:00:00.000,10301.883609336,4009462976.493817,173922837770.0662,bitcoin,2018,2,24,5,8,1,10634.840416960167,4194578680.458615,179483843100.16742,9636.064978848104,3920973797.320117,162414170748.2572,10032.863112314,9973.59211951887,11502.3770496396,10634.840416960167,9636.064978848104
2018-02-25 00:00:00.000,9742.62819006538,3465387501.6656966,164497574061.05917,bitcoin,2018,2,25,6,8,1,10454.26620326065,4161088446.385898,176456021164.42038,9592.655677297804,3882607078.598627,161701851717.3548,10301.883609336,10032.863112314,9973.59211951887,10454.26620326065,9592.655677297804
2018-02-26 00:00:00.000,9699.51718151529,2743650277.5619,163790896885.65796,bitcoin,2018,2,26,0,9,1,10336.564471219835,3875841539.359901,174488821218.7551,9534.099133138983,3877584951.8048434,160734707971.6329,9742.62819006538,10301.883609336,10032.863112314,10336.564471219835,9534.099133138983
2018-02-27 00:00:00.000,10355.5781264856,3646748812.403751,174886939893.19846,bitcoin,2018,2,27,1,9,1,10229.777055553534,3898781126.1509285,172706352283.12564,9490.428506352346,3909713700.8650007,160018951451.10638,9699.51718151529,9742.62819006538,10301.883609336,10229.777055553534,9490.428506352346
2018-02-28 00:00:00.000,10709.3884310463,3398119467.1062694,180884108725.43015,bitcoin,2018,2,28,2,9,1,10116.492967183063,3780604757.8548236,170815242216.15472,9475.485991123964,3944809833.0626006,159787470851.20618,10355.5781264856,9699.51718151529,9742.62819006538,10116.492967183063,9475.485991123964
2018-03-01 00:00:00.000,10346.664931035,3182259829.3149323,174778709347.89926,bitcoin,2018,3,1,3,9,1,10169.789083113938,3581670431.557258,171731902952.35797,9450.534465854242,3973504338.0553713,159387540079.36887,10709.3884310463,10355.5781264856,9699.51718151529,10169.789083113938,9450.534465854242
2018-03-02 00:00:00.000,10859.5521943893,2892166041.0523987,183463718171.25656,bitcoin,2018,3,2,4,9,1,10287.887523410409,3333970700.7998233,173746397836.3668,9479.529879780664,3943078299.8494945,159896721180.0518,10346.664931035,10709.3884310463,10355.5781264856,10287.887523410409,9479.529879780664
2018-03-03 00:00:00.000,11098.0758092511,3031487197.1333075,187514886761.3877,bitcoin,2018,3,3,5,9,1,10401.629266255422,3194259875.1768937,175688119120.8413,9512.3159038815,3936609134.9259853,160470410848.75946,10859.5521943893,10346.664931035,10709.3884310463,10401.629266255422,9512.3159038815
2018-03-04 00:00:00.000,11356.0416016724,3019436740.238814,191899353575.2401,bitcoin,2018,3,4,6,9,1,10632.116896484999,3130552623.544482,179602659051.43857,9588.498775624794,3878273183.7890887,161775583272.46198,11098.0758092511,10859.5521943893,10346.664931035,10632.116896484999,9588.498775624794
2018-03-05 00:00:00.000,11286.6762891691,2580256309.470718,190747933122.9373,bitcoin,2018,3,5,0,10,1,10858.853911864115,3107210628.102885,183453664228.1928,9670.382534928609,3737163393.5323186,163176674858.51404,11356.0416016724,11098.0758092511,10859.5521943893,10858.853911864115,9670.382534928609
2018-03-06 00:00:00.000,11526.4209302906,2693945511.008508,194821583687.4345,bitcoin,2018,3,6,1,10,1,11026.117169550544,2971095870.760707,186301470484.5122,9754.766070402406,3712893507.408168,164620484123.99615,11286.6762891691,11356.0416016724,11098.0758092511,11026.117169550544,9754.766070402406
2018-03-07 00:00:00.000,10727.716249205,3618749298.786025,181342656441.09247,bitcoin,2018,3,7,2,10,1,11028.735429287499,3002614418.143529,186366977301.0354,9835.172695661367,3722281939.334165,165995854520.12473,11526.4209302906,11286.6762891691,11356.0416016724,11028.735429287499,9835.172695661367
2018-03-08 00:00:00.000,9999.68248604677,4896773758.150409,169056252057.66943,bitcoin,2018,3,8,3,10,1,10979.166508574895,3247544979.40574,185549483402.43115,9940.093688512428,3708388109.839799,167782901704.26547,10727.716249205,11526.4209302906,11286.6762891691,10979.166508574895,9940.093688512428
2018-03-09 00:00:00.000,9420.85488958591,4028135943.9580393,159289105130.23843,bitcoin,2018,3,9,4,10,1,10773.638322174409,3409826394.106546,182095967253.7143,9997.08150720059,3537569794.2065477,168761310075.1262,9999.68248604677,10727.716249205,11526.4209302906,10773.638322174409,9997.08150720059
2018-03-10 00:00:00.000,9276.33759031006,5476476288.950579,156862284242.87494,bitcoin,2018,3,10,5,10,1,10513.390005182835,3759110550.0804415,177717024036.78387,10052.572417617966,3558044596.5915203,169714332297.81116,9420.85488958591,9999.68248604677,10727.716249205,10513.390005182835,10052.572417617966
2018-03-11 00:00:00.000,8890.86580399612,3260891795.801318,150359761907.83084,bitcoin,2018,3,11,6,10,1,10161.222034086224,3793604129.4465137,171782796655.7254,10075.315541601278,3560382524.8722696,170114823809.5794,9276.33759031006,9420.85488958591,9999.68248604677,10161.222034086224,10075.315541601278
2018-03-12 00:00:00.000,9512.45611286134,3876612721.9476624,160888688653.47745,bitcoin,2018,3,12,0,11,1,9907.762008899399,3978797902.6575055,167517190302.94547,10104.040187015657,3590934950.6402793,170617378640.44348,8890.86580399612,9276.33759031006,9420.85488958591,9907.762008899399,10104.040187015657
2018-03-13 00:00:00.000,9232.70587979953,4019736166.690967,156177221215.63092,bitcoin,2018,3,13,1,11,1,9580.08843025782,4168196567.755,161996567092.68777,10125.974461725966,3612536898.278912,171005121200.40625,9512.45611286134,8890.86580399612,9276.33759031006,9580.08843025782,10125.974461725966
2018-03-14 00:00:00.000,9216.53097626842,3628990704.006424,155921695042.49033,bitcoin,2018,3,14,2,11,1,9364.204819838307,4169659625.643628,158365001178.60178,10160.904234941592,3639936682.51383,171611968047.6456,9232.70587979953,9512.45611286134,8890.86580399612,9364.204819838307,10160.904234941592
2018-03-15 00:00:00.000,8307.22338626638,4020163253.192984,140553335048.27603,bitcoin,2018,3,15,3,11,1,9122.424948441108,4044429553.5068536,154293155891.54556,10140.765062010196,3671634795.268077,171288531613.60443,9216.53097626842,9232.70587979953,9512.45611286134,9122.424948441108,10140.765062010196
2018-03-16 00:00:00.000,8359.36528334063,4571407139.639841,141449655895.93512,bitcoin,2018,3,16,4,11,1,8970.783576120355,4122039724.318539,151744663143.78793,10135.468268915187,3738964500.3155355,171215323011.60883,8307.22338626638,9216.53097626842,9232.70587979953,8970.783576120355,10135.468268915187
2018-03-17 00:00:00.000,8520.00815917187,3070872383.1616874,144184737078.2775,bitcoin,2018,3,17,5,11,1,8862.736514529184,3778382023.4915547,149933584977.4169,10105.201020648858,3731923771.724947,170721233478.3839,8359.36528334063,8307.22338626638,9216.53097626842,8862.736514529184,10105.201020648858
2018-03-18 00:00:00.000,8063.4097921227,2591898944.228953,136472702736.8598,bitcoin,2018,3,18,6,11,1,8744.528512832982,3682811616.124074,147949719381.56387,10036.895342271393,3673908515.0004635,169584664600.47964,8520.00815917187,8359.36528334063,8307.22338626638,8744.528512832982,10036.895342271393
2018-03-19 00:00:00.000,8217.84219996114,4330642347.54297,139102798580.5772,bitcoin,2018,3,19,0,12,1,8559.583668132953,3747672991.209118,144837449371.14957,9972.314180419236,3713561973.207482,168511116665.46344,8063.4097921227,8520.00815917187,8359.36528334063,8559.583668132953,9972.314180419236
2018-03-20 00:00:00.000,8640.52143024258,4276409099.704472,146274523240.43362,bitcoin,2018,3,20,1,12,1,8474.985889624817,3784340553.06819,143422778231.83566,9893.443305228591,3732781638.5251403,167197189853.10162,8217.84219996114,8063.4097921227,8520.00815917187,8474.985889624817,9893.443305228591
2018-03-21 00:00:00.000,8926.82049620007,3554700592.279649,151135311240.4029,bitcoin,2018,3,21,2,12,1,8433.598678186481,3773727679.9643655,142739009117.25174,9840.223011575226,3693259037.3763328,166316323677.60455,8640.52143024258,8217.84219996114,8063.4097921227,8433.598678186481,9840.223011575226
